country_name,year,value
Venezuela, 1960,57069.521
Venezuela, 1961,51928.387
Venezuela, 1962,54106.585
Venezuela, 1963,56204.109
Venezuela, 1964,56603.812
Venezuela, 1965,60787.859
Venezuela, 1966,57029.184
Venezuela, 1967,65815.316
Venezuela, 1968,65635.633
Venezuela, 1969,68998.272
Venezuela, 1970,74561.111
Venezuela, 1971,62562.687
Venezuela, 1972,62577.355
Venezuela, 1973,66501.045
Venezuela, 1974,75133.163
Venezuela, 1975,63816.801
Venezuela, 1976,57344.546
Venezuela, 1977,63732.46
Venezuela, 1978,68690.244
Venezuela, 1979,76570.627
Venezuela, 1980,90802.254
Venezuela, 1981,91968.36
Venezuela, 1982,93405.824
Venezuela, 1983,93101.463
Venezuela, 1984,93218.807
Venezuela, 1985,101278.873
Venezuela, 1986,109529.623
Venezuela, 1987,110981.755
Venezuela, 1988,116097.22
Venezuela, 1989,108854.895
Venezuela, 1990,101630.0
Venezuela, 1991,100990.0
Venezuela, 1992,103110.0
Venezuela, 1993,107390.0
Venezuela, 1994,106530.0
Venezuela, 1995,114040.0
Venezuela, 1996,121840.0
Venezuela, 1997,127590.0
Venezuela, 1998,129300.0
Venezuela, 1999,125460.0
Venezuela, 2000,131520.0
Venezuela, 2001,135800.0
Venezuela, 2002,140750.0
Venezuela, 2003,135770.004272461
Venezuela, 2004,139610.000610352
Venezuela, 2005,147380.004882813
Venezuela, 2006,147529.998779297
Venezuela, 2007,142389.999389648
Venezuela, 2008,151110.000610352
Venezuela, 2009,152589.996337891
Venezuela, 2010,164100.006103516
Venezuela, 2011,160039.993286133
Venezuela, 2012,181130.004882813
Venezuela, 2013,180429.992675781
Venezuela, 2014,179240.005493164
Venezuela, 2015,163130.004882813
Venezuela, 2016,151070.007324219
Venezuela, 2017,140820.007324219
Venezuela, 2018,132130.004882813
Venezuela, 2019,112339.996337891
